name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual11	1	5.98	6	1	9	0	0	99	1	0
playerVirtual12	1	5.32	7	1	9	0	0	99	1	0
playerVirtual13	2	2.66	7	1	6	0	0	99	1	0
playerVirtual14	1	5.98	6	1	5	0	0	99	1	0
playerVirtual15	2	2.66	5	1	4	0	0	99	1	0
playerVirtual16	3	1.33	4	1	2	0	0	99	1	0
playerVirtual17	2	2.66	3	0	2	0	0	99	1	0
playerVirtual18	3	1.33	2	0	2	0	0	99	1	0
playerVirtual19	3	1.33	1	0	1	0	0	99	1	0
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	7.97	7	1	9	6	0	9	1	0
playerVirtual2	1	5.31	7	1	6	3	0	4	1	0
playerVirtual3	1	7.31	7	1	7	5	0	6	1	0
playerVirtual4	2	3.99	11	1	8	4	0	6	1	0
playerVirtual5	1	5.98	7	1	8	6	0	6	1	0
playerVirtual6	2	3.32	11	1	3	2	0	2	1	0
playerVirtual7	3	1.99	11	1	2	2	0	2	1	0
playerVirtual9	1	6.64	6	1	5	5	0	5	1	0
playerVirtual0	2	3.32	11	1	5	4	0	4	1	0
playerVirtual10	1	5.32	9	1	12	0	0	99	1	0
playerVirtual11	1	5.98	6	1	9	0	0	99	1	0
playerVirtual12	1	5.32	7	1	9	0	0	99	1	0
playerVirtual13	2	3.99	8	1	7	0	0	99	1	0
playerVirtual14	1	5.98	6	1	5	0	0	99	1	0
playerVirtual15	2	2.66	6	1	4	0	0	99	1	0
playerVirtual16	2	3.32	5	1	3	0	0	99	1	0
playerVirtual17	2	2.66	4	1	2	0	0	99	1	0
playerVirtual18	3	1.33	3	0	2	0	0	99	1	0
playerVirtual19	2	3.32	2	0	2	0	0	99	1	0
playerVirtual20	3	0	1	0	1	0	0	99	1	0
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	7.97	8	1	10	7	0	9	1	0
playerVirtual2	1	5.31	8	1	6	3	0	4	1	0
playerVirtual3	1	7.31	8	1	7	5	0	6	1	0
playerVirtual4	1	5.32	12	1	9	5	0	6	1	0
playerVirtual5	1	7.97	8	1	8	5	0	6	1	0
playerVirtual6	2	3.32	12	1	3	2	0	2	1	0
playerVirtual7	3	1.99	12	1	2	2	0	2	1	0
playerVirtual9	1	6.64	7	1	5	5	0	5	1	0
playerVirtual0	2	3.32	12	1	5	4	0	4	1	0
playerVirtual10	1	7.31	10	1	13	1	0	99	1	0
playerVirtual11	1	5.98	7	1	10	0	0	99	1	0
playerVirtual12	1	5.32	8	1	9	0	0	99	1	0
playerVirtual13	2	3.99	9	1	7	0	0	99	1	0
playerVirtual14	1	5.98	7	1	5	0	0	99	1	0
playerVirtual15	2	3.99	7	1	5	1	0	99	1	0
playerVirtual16	2	3.32	6	1	3	0	0	99	1	0
playerVirtual17	2	3.99	5	1	3	1	0	99	1	0
playerVirtual18	3	1.33	4	0	2	0	0	99	1	0
playerVirtual19	2	3.32	3	0	2	0	0	99	1	0
playerVirtual20	3	0	2	0	1	0	0	99	1	0
playerVirtual21	3	1.99	1	0	1	0	0	99	1	0
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	7.97	8	1	10	7	0	9	1	0
playerVirtual2	1	5.31	8	1	6	3	0	4	1	0
playerVirtual3	1	7.31	8	1	8	5	0	6	1	0
playerVirtual4	1	5.32	12	1	9	5	0	6	1	0
playerVirtual5	1	7.97	8	1	8	5	0	6	1	0
playerVirtual6	2	3.32	13	1	3	2	0	2	1	0
playerVirtual7	3	1.99	13	1	2	2	0	2	1	0
playerVirtual9	1	6.64	7	1	5	5	0	5	1	0
playerVirtual0	2	3.32	13	1	5	4	0	4	1	0
playerVirtual10	1	7.31	10	1	13	0	0	99	1	0
playerVirtual11	1	5.98	7	1	10	0	0	99	1	0
playerVirtual12	1	5.32	8	1	10	0	0	99	1	0
playerVirtual13	2	3.99	10	1	7	0	0	99	1	0
playerVirtual14	1	5.98	7	1	5	0	0	99	1	0
playerVirtual15	2	3.99	8	1	5	0	0	99	1	0
playerVirtual16	2	3.32	7	1	3	0	0	99	1	0
playerVirtual17	2	3.99	6	1	3	0	0	99	1	0
playerVirtual18	3	1.33	5	1	2	0	0	99	1	0
playerVirtual19	2	3.32	4	0	2	0	0	99	1	0
playerVirtual20	3	1.33	3	0	2	0	0	99	1	0
playerVirtual21	3	1.99	2	0	1	0	0	99	1	0
playerVirtual22	3	1.33	1	0	1	0	0	99	1	0
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	7.97	9	1	10	7	0	9	1	0
playerVirtual2	1	7.3	9	1	7	4	0	4	1	0
playerVirtual3	1	9.3	9	1	8	5	0	6	1	0
playerVirtual4	1	5.32	13	1	9	5	0	6	1	0
playerVirtual5	1	7.97	9	1	8	5	0	6	1	0
playerVirtual6	2	3.32	14	1	3	2	0	2	1	0
playerVirtual7	3	1.99	14	1	2	2	0	2	1	0
playerVirtual9	1	6.64	8	1	5	5	0	5	1	0
playerVirtual0	2	3.32	14	1	5	4	0	4	1	0
playerVirtual10	1	7.31	11	1	13	0	0	99	1	0
playerVirtual11	1	5.98	8	1	10	0	0	99	1	0
playerVirtual12	1	7.31	9	1	10	0	0	99	1	0
playerVirtual13	2	3.99	11	1	7	0	0	99	1	0
playerVirtual14	1	7.97	8	1	6	1	0	99	1	0
playerVirtual15	2	3.99	9	1	5	0	0	99	1	0
playerVirtual16	1	5.31	8	1	4	0	0	99	1	0
playerVirtual17	2	3.99	7	1	3	0	0	99	1	0
playerVirtual18	2	3.32	6	1	3	0	0	99	1	0
playerVirtual19	1	5.31	5	1	3	1	0	99	1	0
playerVirtual20	3	1.33	4	0	2	0	0	99	1	0
playerVirtual21	3	1.99	3	0	1	0	0	99	1	0
playerVirtual22	3	1.33	2	0	1	0	0	99	1	0
playerVirtual23	3	1.99	1	0	1	0	0	99	1	0
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	7.97	9	1	11	8	0	9	1	0
playerVirtual2	1	7.3	9	1	7	3	0	4	1	0
playerVirtual3	1	9.3	9	1	8	4	0	6	1	0
playerVirtual4	1	5.32	13	1	9	5	0	6	1	0
playerVirtual5	1	7.97	9	1	9	5	0	6	1	0
playerVirtual6	2	3.32	15	1	3	2	0	2	1	0
playerVirtual7	3	1.99	15	1	2	2	0	2	1	0
playerVirtual9	1	6.64	8	1	5	5	0	5	1	0
playerVirtual0	2	3.32	15	1	5	4	0	4	1	0
playerVirtual10	1	7.31	11	1	13	0	0	99	1	0
playerVirtual11	1	5.98	8	1	10	0	0	99	1	0
playerVirtual12	1	7.31	9	1	10	0	0	99	1	0
playerVirtual13	1	5.32	12	1	8	0	0	99	1	0
playerVirtual14	1	7.97	8	1	6	0	0	99	1	0
playerVirtual15	2	3.99	10	1	5	0	0	99	1	0
playerVirtual16	1	5.31	8	1	4	0	0	99	1	0
playerVirtual17	2	3.99	8	1	3	0	0	99	1	0
playerVirtual18	2	3.32	7	1	3	0	0	99	1	0
playerVirtual19	1	5.31	5	1	3	0	0	99	1	0
playerVirtual20	3	1.33	5	1	2	0	0	99	1	0
playerVirtual21	2	3.98	4	0	2	0	0	99	1	0
playerVirtual22	3	1.33	3	0	1	0	0	99	1	0
playerVirtual23	3	1.99	2	0	1	0	0	99	1	0
playerVirtual24	3	1.99	1	0	1	0	0	99	1	0
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	9.96	10	1	11	7	0	9	1	0
playerVirtual2	1	7.3	10	1	7	3	0	4	1	0
playerVirtual3	1	9.3	10	1	8	4	0	6	1	0
playerVirtual4	1	7.31	14	1	10	6	0	6	1	0
playerVirtual5	1	9.96	10	1	9	5	0	6	1	0
playerVirtual6	2	3.32	16	1	3	2	0	2	1	0
playerVirtual7	3	1.99	16	1	2	2	0	2	1	0
playerVirtual9	1	6.64	9	1	5	5	0	5	1	0
playerVirtual0	2	3.32	16	1	5	4	0	4	1	0
playerVirtual10	1	7.31	12	1	13	0	0	99	1	0
playerVirtual11	1	5.98	9	1	10	0	0	99	1	0
playerVirtual12	1	7.31	10	1	10	0	0	99	1	0
playerVirtual13	1	5.32	13	1	8	0	0	99	1	0
playerVirtual14	1	7.97	9	1	6	0	0	99	1	0
playerVirtual15	1	5.32	11	1	6	0	0	99	1	0
playerVirtual16	1	5.31	9	1	4	0	0	99	1	0
playerVirtual17	1	5.98	9	1	4	0	0	99	1	0
playerVirtual18	2	3.32	8	1	3	0	0	99	1	0
playerVirtual19	1	5.31	6	1	3	0	0	99	1	0
playerVirtual20	3	1.33	6	1	2	0	0	99	1	0
playerVirtual21	2	3.98	5	1	2	0	0	99	1	0
playerVirtual22	2	3.32	4	0	2	0	0	99	1	0
playerVirtual23	3	1.99	3	0	1	0	0	99	1	0
playerVirtual24	3	1.99	2	0	1	0	0	99	1	0
playerVirtual25	3	1.99	1	0	1	0	0	99	1	0
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	9.96	10	1	11	7	0	9	1	0
playerVirtual2	1	7.3	10	1	7	3	0	4	1	0
playerVirtual3	1	9.3	10	1	8	4	0	6	1	0
playerVirtual4	1	7.31	14	1	10	6	0	6	1	0
playerVirtual5	1	9.96	10	1	9	5	0	6	1	0
playerVirtual6	2	3.32	17	1	3	2	0	2	1	0
playerVirtual7	3	1.99	17	1	2	2	0	2	1	0
playerVirtual9	1	6.64	9	1	5	5	0	5	1	0
playerVirtual0	2	3.32	17	1	5	4	0	4	1	0
playerVirtual10	1	7.31	12	1	13	0	0	99	1	0
playerVirtual11	1	5.98	9	1	11	1	0	99	1	0
playerVirtual12	1	7.31	10	1	10	0	0	99	1	0
playerVirtual13	1	5.32	13	1	8	0	0	99	1	0
playerVirtual14	1	7.97	9	1	6	0	0	99	1	0
playerVirtual15	1	5.32	11	1	6	0	0	99	1	0
playerVirtual16	1	5.31	9	1	4	0	0	99	1	0
playerVirtual17	1	5.98	9	1	4	0	0	99	1	0
playerVirtual18	2	3.32	9	1	3	0	0	99	1	0
playerVirtual19	1	5.31	6	1	3	0	0	99	1	0
playerVirtual20	3	1.33	7	1	2	0	0	99	1	0
playerVirtual21	2	3.98	6	1	2	0	0	99	1	0
playerVirtual22	2	3.32	5	0	2	0	0	99	1	0
playerVirtual23	3	1.99	4	0	1	0	0	99	1	0
playerVirtual24	3	1.99	3	0	1	0	0	99	1	0
playerVirtual25	3	1.99	2	0	1	0	0	99	1	0
playerVirtual26	3	1.99	1	0	1	1	0	99	1	0
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	9.96	11	1	11	7	0	9	1	0
playerVirtual2	1	7.3	11	1	7	3	0	4	1	0
playerVirtual3	1	11.29	11	1	9	5	0	6	1	0
playerVirtual4	1	7.31	15	1	10	5	0	6	1	0
playerVirtual5	1	9.96	11	1	9	5	0	6	1	0
playerVirtual6	2	3.32	18	1	3	2	0	2	1	0
playerVirtual7	3	1.99	18	1	2	2	0	2	1	0
playerVirtual9	1	6.64	10	1	5	5	0	5	1	0
playerVirtual0	2	3.32	18	1	5	4	0	4	1	0
playerVirtual10	1	9.3	13	1	14	0	0	99	1	0
playerVirtual11	1	5.98	10	1	11	0	0	99	1	0
playerVirtual12	1	7.31	11	1	10	0	0	99	1	0
playerVirtual13	1	5.32	14	1	8	0	0	99	1	0
playerVirtual14	1	7.97	10	1	6	0	0	99	1	0
playerVirtual15	1	5.32	12	1	6	0	0	99	1	0
playerVirtual16	1	5.31	10	1	4	0	0	99	1	0
playerVirtual17	1	5.98	10	1	4	0	0	99	1	0
playerVirtual18	2	3.32	10	1	3	0	0	99	1	0
playerVirtual19	1	5.31	7	1	3	0	0	99	1	0
playerVirtual20	2	3.32	8	1	3	0	0	99	1	0
playerVirtual21	2	3.98	7	1	2	0	0	99	1	0
playerVirtual22	2	3.32	6	1	2	0	0	99	1	0
playerVirtual23	3	1.99	5	0	1	0	0	99	1	0
playerVirtual24	3	1.99	4	0	1	0	0	99	1	0
playerVirtual25	3	1.99	3	0	1	0	0	99	1	0
playerVirtual26	3	1.99	2	0	1	0	0	99	1	0
playerVirtual27	3	1.99	1	0	1	1	0	99	1	0
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	9.96	11	1	11	6	0	9	1	0
playerVirtual2	1	7.3	11	1	7	3	0	4	1	0
playerVirtual3	1	11.29	11	1	9	5	0	6	1	0
playerVirtual4	1	7.31	15	1	10	5	0	6	1	0
playerVirtual5	1	9.96	11	1	9	5	0	6	1	0
playerVirtual6	2	3.32	19	1	3	2	0	2	1	0
playerVirtual7	3	1.99	19	1	2	2	0	2	1	0
playerVirtual9	1	6.64	10	1	5	5	0	5	1	0
playerVirtual0	2	3.32	19	1	5	4	0	4	1	0
playerVirtual10	1	9.3	13	1	14	0	0	99	1	0
playerVirtual11	1	5.98	10	1	11	0	0	99	1	0
playerVirtual12	1	7.31	11	1	11	0	0	99	1	0
playerVirtual13	1	5.32	14	1	8	0	0	99	1	0
playerVirtual14	1	7.97	10	1	6	0	0	99	1	0
playerVirtual15	1	5.32	12	1	6	0	0	99	1	0
playerVirtual16	1	5.31	10	1	4	0	0	99	1	0
playerVirtual17	1	5.98	10	1	4	0	0	99	1	0
playerVirtual18	2	3.32	11	1	3	0	0	99	1	0
playerVirtual19	1	5.31	7	1	3	0	0	99	1	0
playerVirtual20	2	3.32	9	1	3	0	0	99	1	0
playerVirtual21	2	3.98	8	1	2	0	0	99	1	0
playerVirtual22	2	3.32	7	1	2	0	0	99	1	0
playerVirtual23	2	3.98	6	1	2	0	0	99	1	0
playerVirtual24	3	1.99	5	0	1	0	0	99	1	0
playerVirtual25	3	1.99	4	0	1	0	0	99	1	0
playerVirtual26	3	1.99	3	0	1	0	0	99	1	0
playerVirtual27	3	1.99	2	0	1	0	0	99	1	0
playerVirtual28	3	1.99	1	0	1	0	0	99	1	0
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	9.96	12	1	11	6	0	9	1	0
playerVirtual2	1	7.3	12	1	8	4	0	4	1	0
playerVirtual3	1	11.29	12	1	9	5	0	6	1	0
playerVirtual4	1	7.31	16	1	10	5	0	6	1	0
playerVirtual5	1	9.96	12	1	9	5	0	6	1	0
playerVirtual6	2	3.32	20	1	3	2	0	2	1	0
playerVirtual7	3	1.99	20	1	2	2	0	2	1	0
playerVirtual9	1	6.64	11	1	5	5	0	5	1	0
playerVirtual0	2	3.32	20	1	5	4	0	4	1	0
playerVirtual10	1	9.3	14	1	14	0	0	99	1	0
playerVirtual11	1	5.98	11	1	11	0	0	99	1	0
playerVirtual12	1	9.3	12	1	11	0	0	99	1	0
playerVirtual13	1	5.32	15	1	8	0	0	99	1	0
playerVirtual14	1	7.97	11	1	6	0	0	99	1	0
playerVirtual15	1	5.32	13	1	6	0	0	99	1	0
playerVirtual16	1	6.64	11	1	5	0	0	99	1	0
playerVirtual17	1	5.98	11	1	4	0	0	99	1	0
playerVirtual18	1	5.31	12	1	4	0	0	99	1	0
playerVirtual19	1	5.31	8	1	3	0	0	99	1	0
playerVirtual20	2	3.32	10	1	3	0	0	99	1	0
playerVirtual21	2	3.98	9	1	2	0	0	99	1	0
playerVirtual22	2	3.32	8	1	2	0	0	99	1	0
playerVirtual23	2	3.98	7	1	2	0	0	99	1	0
playerVirtual24	3	1.99	6	1	2	0	0	99	1	0
playerVirtual25	2	3.32	5	0	2	0	0	99	1	0
playerVirtual26	3	1.99	4	0	1	0	0	99	1	0
playerVirtual27	3	1.99	3	0	1	0	0	99	1	0
playerVirtual28	3	1.99	2	0	1	0	0	99	1	0
playerVirtual29	3	1.99	1	0	1	0	0	99	1	0
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	9.96	12	1	11	6	0	9	1	0
playerVirtual2	1	7.3	12	1	8	4	0	4	1	0
playerVirtual3	1	11.29	12	1	9	5	0	6	1	0
playerVirtual4	1	7.31	16	1	10	5	0	6	1	0
playerVirtual5	1	9.96	12	1	9	5	0	6	1	0
playerVirtual6	2	3.32	21	1	3	2	0	2	1	0
playerVirtual7	3	1.99	21	1	2	2	0	2	1	0
playerVirtual9	1	6.64	11	1	5	5	0	5	1	0
playerVirtual0	2	3.32	21	1	5	4	0	4	1	0
playerVirtual10	1	9.3	14	1	14	0	0	99	1	0
playerVirtual11	1	5.98	11	1	11	0	0	99	1	0
playerVirtual12	1	9.3	12	1	11	0	0	99	1	0
playerVirtual13	1	5.32	15	1	8	0	0	99	1	0
playerVirtual14	1	7.97	11	1	6	0	0	99	1	0
playerVirtual15	1	5.32	13	1	6	0	0	99	1	0
playerVirtual16	1	6.64	11	1	5	0	0	99	1	0
playerVirtual17	1	5.98	11	1	4	0	0	99	1	0
playerVirtual18	1	5.31	12	1	4	0	0	99	1	0
playerVirtual19	1	5.31	8	1	4	0	0	99	1	0
playerVirtual20	2	3.32	11	1	3	0	0	99	1	0
playerVirtual21	1	5.97	10	1	3	0	0	99	1	0
playerVirtual22	2	3.32	9	1	3	0	0	99	1	0
playerVirtual23	2	3.98	8	1	2	0	0	99	1	0
playerVirtual24	3	1.99	7	1	2	0	0	99	1	0
playerVirtual25	2	3.32	6	1	2	0	0	99	1	0
playerVirtual26	3	1.99	5	0	1	0	0	99	1	0
playerVirtual27	3	1.99	4	0	1	0	0	99	1	0
playerVirtual28	3	1.99	3	0	1	0	0	99	1	0
playerVirtual29	3	1.99	2	0	1	0	0	99	1	0
playerVirtual30	3	1.99	1	0	1	0	0	99	1	0
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	9.96	13	1	11	6	0	9	1	0
playerVirtual2	1	7.3	13	1	8	3	0	4	1	0
playerVirtual3	1	11.29	13	1	9	5	0	6	1	0
playerVirtual4	1	7.31	17	1	10	5	0	6	1	0
playerVirtual5	1	9.96	13	1	9	5	0	6	1	0
playerVirtual6	2	3.32	22	1	3	2	0	2	1	0
playerVirtual7	3	1.99	22	1	2	2	0	2	1	0
playerVirtual9	1	8.63	12	1	6	5	0	5	1	0
playerVirtual0	2	3.32	22	1	5	4	0	4	1	0
playerVirtual10	1	9.3	15	1	14	0	0	99	1	0
playerVirtual11	1	5.98	12	1	11	0	0	99	1	0
playerVirtual12	1	9.3	13	1	11	0	0	99	1	0
playerVirtual13	1	5.32	16	1	8	0	0	99	1	0
playerVirtual14	1	9.96	12	1	7	0	0	99	1	0
playerVirtual15	1	5.32	14	1	6	0	0	99	1	0
playerVirtual16	1	6.64	12	1	5	0	0	99	1	0
playerVirtual17	1	5.98	12	1	4	0	0	99	1	0
playerVirtual18	1	5.31	13	1	4	0	0	99	1	0
playerVirtual19	1	5.31	9	1	4	0	0	99	1	0
playerVirtual20	2	3.32	12	1	3	0	0	99	1	0
